ticker,S5INFT Index,S5INFT Index,S5INFT Index,S5INFT Index,S5INFT Index,S5INFT Index,S5INFT Index,S5INFT Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-11-28,12.87,29.43,1548.18,25.4589,7.426,4.9395,4.43,3.9279
2019-11-29,12.8,29.42,1542.98,25.6512,7.3928,4.9312000000000005,4.41,3.8984
2019-12-02,12.75,29.52,1521.44,25.2671,7.2971,4.8551,4.47,3.9577
2019-12-03,12.7,29.52,1508.54,25.0528,7.2353,4.814,4.51,3.9916
2019-12-04,12.66,29.52,1513.86,25.1412,7.2608,4.8309999999999995,4.49,3.9775
2019-12-05,12.67,29.52,1519.77,25.2393,7.2891,4.8498,4.48,3.9621
2019-12-06,12.75,29.52,1536.81,25.5223,7.3709,4.9042,4.43,3.9181
2019-12-09,12.56,29.52,1529.39,25.3991,7.3353,4.8805,4.45,3.9371
2019-12-10,12.66,29.52,1529.43,25.3998,7.3355,4.8806,4.45,3.9370000000000003
2019-12-11,12.83,29.52,1540.24,25.5793,7.3873,4.9151,4.42,3.9093999999999998
2019-12-12,12.91,29.52,1556.93,25.8565,7.4674,4.9684,4.37,3.8675
2019-12-13,12.9,29.52,1566.91,26.0222,7.5152,5.0002,4.34,3.8429
2019-12-16,9.73,29.52,1580.49,26.2477,7.5804,5.0436,4.3,3.8099
2019-12-17,9.73,29.52,1577.8,26.2031,7.5675,5.035,4.31,3.8163
2019-12-18,7.76,29.52,1576.83,26.187,7.5628,5.0319,4.31,3.8186999999999998
2019-12-19,9.27,29.52,1588.02,26.3728,7.6165,5.0676,4.28,3.7918
2019-12-20,9.26,29.52,1597.04,26.5226,7.6597,5.0964,4.26,3.7704
2019-12-23,9.25,29.52,1601.86,26.6507,7.6812000000000005,5.111,4.24,3.7522
2019-12-24,9.26,29.52,1602.48,26.661,7.6841,5.1129,4.24,3.7508
2019-12-25,9.26,29.52,1602.48,26.661,7.6841,5.1129,4.24,3.7508
2019-12-26,9.27,29.52,1614.34,26.8583,7.741,5.1508,4.21,3.7232
2019-12-27,9.27,29.55,1614.7,26.871,7.7414,5.1526,4.21,3.7215
2019-12-30,9.28,29.87,1605.15,26.1695,7.6494,5.0538,4.39,3.8212
2019-12-31,9.27,30.01,1611.17,25.8898,7.3657,5.031,4.41,3.8625
2020-01-01,9.27,30.01,1611.17,25.8898,7.3657,5.031,4.41,3.8625
