ticker,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-11-04,7.08,32.75,1093.62,20.0816,4.2606,1.7061,5.53,4.9797
2019-11-05,7.06,32.75,1083.84,19.902,4.2225,1.6907999999999999,5.58,5.0246
2019-11-06,7.06,32.75,1089.91,20.0134,4.2462,1.7003,5.55,4.9966
2019-11-07,7.11,32.75,1091.46,20.0419,4.2522,1.7027,5.54,4.9895
2019-11-08,7.1,32.75,1100.18,20.202,4.2862,1.7163,5.49,4.95
2019-11-11,7.07,32.75,1095.63,20.1185,4.2685,1.7092,5.52,4.9706
2019-11-12,7.08,32.75,1101.98,20.2351,4.2932,1.7191,5.49,4.9419
2019-11-13,7.12,32.75,1103.19,20.2573,4.2979,1.721,5.48,4.9365
2019-11-14,7.12,32.75,1102.38,20.2424,4.2948,1.7197,5.48,4.9401
2019-11-15,7.13,32.75,1126.75,20.6899,4.3897,1.7578,5.36,4.8333
2019-11-18,7.12,32.74,1122.5,20.6126,4.3732,1.7513,5.38,4.8514
2019-11-19,7.12,32.74,1129.84,20.7474,4.4018,1.7627000000000002,5.35,4.8199
2019-11-20,7.14,32.74,1128.87,20.7296,4.398,1.7612,5.35,4.824
2019-11-21,7.06,32.59,1131.35,20.8611,4.3863,1.7529,5.27,4.7936
2019-11-22,7.03,32.59,1135.88,20.9446,4.4039,1.7599,5.25,4.7745
2019-11-25,7.04,32.59,1147.99,21.1679,4.4509,1.7787,5.19,4.7241
2019-11-26,8.12,32.59,1147.21,21.1535,4.4478,1.7774999999999999,5.2,4.7273
2019-11-27,8.12,32.59,1152.72,21.2551,4.4692,1.786,5.17,4.7047
2019-11-28,8.12,32.59,1152.72,21.2551,4.4692,1.786,5.17,4.7047
2019-11-29,8.12,32.59,1148.69,21.1808,4.4536,1.7797,5.19,4.7213
2019-12-02,8.12,32.59,1143.63,21.0875,4.434,1.7719,5.21,4.7421
2019-12-03,8.13,32.59,1141.25,21.0436,4.4247,1.7682,5.22,4.752
2019-12-04,8.13,32.59,1151.67,21.2358,4.4651,1.7844,5.18,4.709
2019-12-05,8.14,32.59,1152.01,21.242,4.4664,1.7849,5.17,4.7076
2019-12-06,8.14,32.59,1159.11,21.3729,4.494,1.7959,5.14,4.6788
2019-12-09,8.13,32.59,1151.2,21.2271,4.4633,1.7835999999999999,5.18,4.711
2019-12-10,8.14,32.59,1152.89,21.2583,4.4699,1.7863,5.17,4.7041
2019-12-11,8.15,32.59,1154.8,21.2935,4.4773,1.7892000000000001,5.16,4.6963
