ticker,S5UTIL Index,S5UTIL Index,S5UTIL Index,S5UTIL Index,S5UTIL Index,S5UTIL Index,S5UTIL Index,S5UTIL Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-11-06,4.18,39.73,318.54,20.6145,2.2485,2.6814,-2.86,4.851
2019-11-07,4.17,39.73,314.25,20.3368,2.2182,2.6452,-2.99,4.9172
2019-11-08,4.15,39.73,313.06,20.2598,2.2098,2.6352,-3.0,4.9359
2019-11-11,4.16,39.73,310.94,20.1352,2.1948,2.6281,-3.02,4.9664
2019-11-12,4.16,39.73,311.71,20.1851,2.2003,2.6346,-3.02,4.9542
2019-11-13,4.17,39.73,316.28,20.481,2.2325,2.6732,-2.9699999999999998,4.8826
2019-11-14,4.17,39.73,317.0,20.5276,2.2376,2.6793,-2.96,4.8715
2019-11-15,4.16,39.73,317.84,20.582,2.2435,2.6864,-2.96,4.8586
2019-11-18,4.17,39.73,318.39,20.5978,2.2474,2.6887,-2.95,4.8549
2019-11-19,4.17,39.73,317.58,20.5454,2.2417,2.6818999999999997,-2.96,4.8673
2019-11-20,4.17,39.73,319.57,20.6742,2.2557,2.6987,-2.94,4.837
2019-11-21,4.35,39.73,318.39,20.5978,2.2474,2.6887,-2.95,4.8549
2019-11-22,4.33,39.73,318.47,20.603,2.248,2.6894,-2.95,4.8537
2019-11-25,4.31,39.73,317.3,20.5273,2.2397,2.6795,-2.96,4.8716
2019-11-26,-6.01,39.73,318.51,20.6056,2.2483,2.6898,-2.95,4.8530999999999995
2019-11-27,-6.02,39.73,318.81,20.625,2.2504,2.6923,-2.95,4.8485
2019-11-28,-6.02,39.73,318.81,20.625,2.2504,2.6923,-2.95,4.8485
2019-11-29,-6.02,39.73,318.36,20.5959,2.2472,2.6885,-2.95,4.8553
2019-12-02,11.72,39.73,315.9,20.4367,2.2298,2.6677,-2.9699999999999998,4.8932
2019-12-03,11.86,39.73,317.48,20.5389,2.241,2.6811,-2.96,4.8688
2019-12-04,11.91,39.73,319.77,20.6871,2.2571,2.7004,-2.94,4.8339
2019-12-05,12.0,39.73,319.83,20.691,2.2576,2.7009,-2.94,4.833
2019-12-06,11.99,39.73,319.12,20.645,2.2526,2.6949,-2.83,4.8438
2019-12-09,12.07,39.73,317.56,20.5441,2.2415,2.6817,-2.84,4.8676
2019-12-10,12.04,39.73,317.43,20.5357,2.2406,2.6806,-2.84,4.8696
2019-12-11,12.05,39.73,318.48,20.6036,2.248,2.6895,-2.82,4.8535
2019-12-12,12.0,39.73,316.92,20.5027,2.237,2.6763,-2.96,4.8774
2019-12-13,11.78,39.73,319.58,20.6748,2.2558,2.6988,-2.93,4.8368
2019-12-16,11.7,39.73,323.71,20.942,2.285,2.7337,-2.9699999999999998,4.7751
2019-12-17,11.6,39.73,324.48,20.9918,2.2904,2.7401999999999997,-2.96,4.7638
2019-12-18,11.65,39.73,325.89,21.083,2.3003,2.7521,-2.95,4.7432
2019-12-19,11.75,39.73,325.71,21.0356,2.2991,2.7506,-2.95,4.7538
2019-12-20,11.69,39.73,328.25,21.1997,2.317,2.7720000000000002,-2.93,4.7171
2019-12-23,11.64,39.74,325.02,21.0002,2.2946,2.7442,-2.89,4.7619
2019-12-24,11.69,39.74,325.36,21.0221,2.297,2.747,-2.89,4.7569
2019-12-25,11.69,39.74,325.36,21.0221,2.297,2.747,-2.89,4.7569
2019-12-26,11.69,39.74,325.96,21.0609,2.3013,2.7521,-2.88,4.7481
2019-12-27,11.63,39.74,326.82,21.1165,2.3074,2.7594,-2.88,4.7356
2019-12-30,11.62,39.74,326.67,21.1068,2.3063000000000002,2.7580999999999998,-2.88,4.7378
2019-12-31,11.59,39.33,328.36,17.2706,2.282,2.7973,-2.86,5.7902000000000005
2020-01-01,11.59,39.33,328.36,17.2706,2.282,2.7973,-2.86,5.7902000000000005
